CustomerKey,CustomerID,CustomerName,Segment,Country,EffectiveDate,ExpiryDate,IsCurrent
31,CUST000023,Sterling Manufacturing Co,Enterprise,United States,5/9/2020,12/31/9999,TRUE
32,CUST000024,Sterling Dynamics Ltd,Education,Germany,6/9/2021,12/31/9999,TRUE
33,CUST000025,Cobalt Software LLC,Government,Spain,12/16/2021,12/31/9999,TRUE
34,CUST000026,Cascade Pharma Inc,Education,Chile,5/23/2018,4/19/2020,FALSE
35,CUST000026,Cascade Pharma Inc,Education,Chile,4/20/2020,12/31/9999,TRUE
36,CUST000027,Global Analytics Ltd,Startup,Spain,1/15/2019,9/2/2019,FALSE
37,CUST000027,Global Analytics Ltd,Startup,Spain,9/3/2019,12/31/9999,TRUE
38,CUST000028,Meridian Energy PLC,SMB,United Kingdom,6/16/2019,12/31/9999,TRUE
39,CUST000029,Evergreen Analytics Holdings,Startup,Australia,12/27/2020,12/31/9999,TRUE
40,CUST000030,Summit Consulting Inc,Government,China,4/28/2022,12/31/9999,TRUE
41,CUST000031,Northern Networks Group,Mid-Market,Singapore,8/5/2018,12/31/9999,TRUE
42,CUST000032,Nova Software Inc,Government,Italy,12/23/2020,12/31/9999,TRUE
43,CUST000033,Pacific Financial PLC,Government,Australia,8/10/2019,12/31/9999,TRUE
44,CUST000034,Cascade Software PLC,Government,United Kingdom,9/21/2020,12/31/9999,TRUE
45,CUST000035,Halcyon Consulting Group,Startup,United Kingdom,5/21/2020,12/31/9999,TRUE
46,CUST000036,Pacific Manufacturing Group,SMB,Spain,1/26/2019,12/31/9999,TRUE
47,CUST000037,Halcyon Media Co,Education,Germany,5/9/2021,1/6/2023,FALSE
48,CUST000037,Halcyon Media Co,Government,Spain,1/7/2023,12/31/9999,TRUE
49,CUST000038,Northern Motors Holdings,SMB,Australia,11/18/2019,12/31/9999,TRUE
50,CUST000039,Atlas Dynamics Holdings,Mid-Market,Germany,3/22/2022,8/26/2023,FALSE
51,CUST000039,Atlas Dynamics Holdings,Mid-Market,Italy,8/27/2023,12/31/9999,TRUE
52,CUST000040,Atlas Financial Co,Government,Australia,8/28/2020,12/31/9999,TRUE
53,CUST000041,Sterling Logistics LLC,Enterprise,Argentina,2/28/2022,7/23/2024,FALSE
54,CUST000041,Sterling Logistics LLC,SMB,Argentina,7/24/2024,12/31/9999,TRUE
55,CUST000042,Vertex Industries Ltd,Education,Japan,8/5/2022,12/31/9999,TRUE
56,CUST000043,Nova Systems Holdings,SMB,Japan,6/21/2019,12/31/9999,TRUE
57,CUST000044,Global Energy Group,Enterprise,Spain,10/25/2019,9/30/2020,FALSE
58,CUST000044,Global Energy Group,Education,Spain,10/1/2020,12/31/9999,TRUE
59,CUST000045,Halcyon Financial PLC,Mid-Market,China,7/1/2021,12/31/9999,TRUE
60,CUST000046,Redwood Networks Co,Enterprise,United States,4/1/2022,8/19/2024,FALSE
61,CUST000046,Redwood Networks Co,Government,Australia,8/20/2024,12/31/9999,TRUE
62,CUST000047,Vertex Dynamics PLC,SMB,Chile,2/27/2019,12/31/9999,TRUE
63,CUST000048,Atlas Consulting Holdings,Enterprise,Chile,7/22/2020,12/31/9999,TRUE
64,CUST000049,Quantum Robotics Co,Mid-Market,Spain,1/8/2021,12/31/9999,TRUE
65,CUST000050,Vertex Networks Inc,Mid-Market,Chile,12/21/2020,12/31/9999,TRUE
66,CUST000051,Apex Media Group,Education,Canada,11/4/2018,12/31/9999,TRUE
67,CUST000052,Global Logistics LLC,Government,Singapore,9/9/2018,12/31/9999,TRUE
68,CUST000053,Yuki Jones,Consumer,Spain,5/14/2018,12/31/9999,TRUE
69,CUST000054,Pioneer Textiles Group,Government,Germany,9/24/2018,12/31/9999,TRUE
70,CUST000055,Pioneer Consulting LLC,Startup,United Kingdom,4/25/2022,12/31/9999,TRUE
71,CUST000056,Cascade Networks Co,SMB,Singapore,9/16/2018,12/31/9999,TRUE
72,CUST000057,Sterling Foods Ltd,Mid-Market,United States,2/27/2018,12/31/9999,TRUE
73,CUST000058,Sterling Industries LLC,Startup,Chile,5/21/2018,12/31/9999,TRUE
74,CUST000059,Evergreen Consulting Group,Mid-Market,Brazil,1/28/2019,12/31/9999,TRUE
75,CUST000060,Meridian Foods PLC,SMB,United Kingdom,1/28/2018,12/31/9999,TRUE
76,CUST000061,Nova Foods Co,Mid-Market,Brazil,12/3/2020,6/16/2022,FALSE
77,CUST000061,Nova Foods Co,Mid-Market,China,6/17/2022,1/26/2024,FALSE
78,CUST000061,Nova Foods Co,Mid-Market,China,1/27/2024,12/31/9999,TRUE
79,CUST000062,Sterling Financial Corp,Government,United Kingdom,3/4/2018,12/31/9999,TRUE
80,CUST000063,Raj Sato,Consumer,Argentina,3/20/2021,10/8/2022,FALSE
81,CUST000063,Raj Sato,Consumer,Argentina,10/9/2022,12/31/9999,TRUE
82,CUST000064,Vertex Robotics Holdings,Education,United Kingdom,1/3/2021,3/25/2022,FALSE
83,CUST000064,Vertex Robotics Holdings,Education,Chile,3/26/2022,12/31/9999,TRUE
84,CUST000065,Onyx Health Ltd,Education,Japan,2/14/2022,12/31/9999,TRUE
85,CUST000066,Northern Robotics Co,Government,China,10/2/2022,12/31/9999,TRUE
86,CUST000067,Nova Textiles Holdings,Enterprise,Argentina,8/11/2018,10/10/2019,FALSE
87,CUST000067,Nova Textiles Holdings,SMB,Italy,10/11/2019,12/31/9999,TRUE
88,CUST000068,Horizon Media Ltd,Startup,Mexico,8/3/2022,12/31/9999,TRUE
89,CUST000069,Sterling Energy Co,Education,United Kingdom,2/13/2018,10/7/2019,FALSE
90,CUST000069,Sterling Energy Co,Startup,Mexico,10/8/2019,12/13/2021,FALSE
91,CUST000069,Sterling Energy Co,Startup,Mexico,12/14/2021,12/31/9999,TRUE
92,CUST000070,Redwood Networks Holdings,Startup,Japan,4/28/2018,12/31/9999,TRUE
93,CUST000071,William Silva,Consumer,Argentina,12/15/2020,10/6/2021,FALSE
94,CUST000071,William Silva,Government,Japan,10/7/2021,12/31/9999,TRUE
95,CUST000072,Atlas Motors Co,SMB,United Kingdom,8/5/2019,12/31/9999,TRUE
96,CUST000073,Cobalt Dynamics Group,Education,Spain,4/15/2021,12/31/9999,TRUE
97,CUST000074,Prime Foods LLC,Education,Singapore,2/25/2022,12/31/9999,TRUE
98,CUST000075,Joseph Haddad,Consumer,Chile,1/17/2021,12/31/9999,TRUE
99,CUST000076,Apex Motors PLC,Government,Argentina,12/19/2019,12/9/2020,FALSE
100,CUST000076,Apex Motors PLC,Government,China,12/10/2020,4/11/2023,FALSE
101,CUST000076,Apex Motors PLC,Government,China,4/12/2023,12/31/9999,TRUE
102,CUST000077,Horizon Financial Ltd,Startup,Netherlands,5/15/2020,12/31/9999,TRUE
103,CUST000078,Vertex Industries PLC,Education,Chile,6/23/2022,12/31/9999,TRUE
104,CUST000079,Redwood Networks Ltd,Government,Spain,11/12/2020,12/31/9999,TRUE
105,CUST000080,Vertex Analytics Co,Government,United Kingdom,8/19/2022,9/20/2024,FALSE
106,CUST000080,Vertex Analytics Co,Government,United Kingdom,9/21/2024,12/31/9999,TRUE
107,CUST000081,Redwood Consulting PLC,Government,United States,7/5/2018,12/31/9999,TRUE
108,CUST000082,Apex Networks Group,Enterprise,France,3/27/2020,11/24/2020,FALSE
109,CUST000082,Apex Networks Group,Enterprise,Canada,11/25/2020,5/25/2022,FALSE
110,CUST000082,Apex Networks Group,Enterprise,Italy,5/26/2022,12/31/9999,TRUE
111,CUST000083,Redwood Media Ltd,Government,Chile,12/22/2020,8/6/2021,FALSE
112,CUST000083,Redwood Media Ltd,Government,Japan,8/7/2021,12/31/9999,TRUE
113,CUST000084,Apex Retail Group,Startup,Spain,4/21/2021,12/31/9999,TRUE
114,CUST000085,Meridian Health Ltd,Government,Spain,11/3/2019,12/31/9999,TRUE
115,CUST000086,Nova Textiles LLC,Mid-Market,China,9/9/2020,12/31/9999,TRUE
116,CUST000087,Nova Health Group,Mid-Market,United States,1/5/2019,12/31/9999,TRUE
117,CUST000088,Halcyon Logistics Group,SMB,Argentina,6/3/2022,10/20/2023,FALSE
118,CUST000088,Halcyon Logistics Group,Mid-Market,Argentina,10/21/2023,12/31/9999,TRUE
119,CUST000089,Cascade Analytics PLC,Education,China,4/22/2019,12/31/9999,TRUE
120,CUST000090,Quantum Pharma Group,SMB,Spain,9/16/2022,10/8/2024,FALSE
121,CUST000090,Quantum Pharma Group,SMB,Spain,10/9/2024,4/15/2025,FALSE
122,CUST000090,Quantum Pharma Group,SMB,Spain,4/16/2025,12/31/9999,TRUE
123,CUST000091,Halcyon Software Ltd,Government,Canada,7/26/2020,12/31/9999,TRUE
124,CUST000092,Horizon Manufacturing Group,Enterprise,United States,9/26/2020,8/26/2022,FALSE
125,CUST000092,Horizon Manufacturing Group,Enterprise,Spain,8/27/2022,12/31/9999,TRUE
126,CUST000093,Cascade Systems LLC,SMB,France,9/1/2022,11/29/2024,FALSE
127,CUST000093,Cascade Systems LLC,Government,France,11/30/2024,1/1/2026,FALSE
128,CUST000093,Cascade Systems LLC,Government,France,1/2/2026,12/31/9999,TRUE
129,CUST000094,Prime Motors PLC,Enterprise,Mexico,1/15/2019,6/16/2020,FALSE
130,CUST000094,Prime Motors PLC,Enterprise,Netherlands,6/17/2020,12/31/9999,TRUE
131,CUST000095,Summit Health Ltd,Startup,Netherlands,11/13/2021,12/31/9999,TRUE
132,CUST000096,William Smith,Consumer,China,1/21/2022,12/31/9999,TRUE
133,CUST000097,Halcyon Systems Inc,Government,Mexico,2/10/2022,12/31/9999,TRUE
134,CUST000098,Atlas Software LLC,Education,India,7/13/2021,11/15/2023,FALSE
135,CUST000098,Atlas Software LLC,Mid-Market,India,11/16/2023,12/31/9999,TRUE
136,CUST000099,Horizon Motors Group,Mid-Market,Germany,1/18/2020,12/31/9999,TRUE
137,CUST000100,Redwood Industries LLC,Education,Canada,7/18/2022,12/31/9999,TRUE
138,CUST000101,Summit Consulting Ltd,Startup,Australia,3/6/2022,12/31/9999,TRUE
139,CUST000102,Northern Software Group,Mid-Market,Spain,1/28/2022,12/31/9999,TRUE
140,CUST000103,Redwood Energy LLC,Education,India,2/7/2020,12/31/9999,TRUE
141,CUST000104,Onyx Robotics Co,Government,Australia,2/10/2019,12/31/9999,TRUE
142,CUST000105,Summit Networks Co,Startup,Argentina,11/10/2022,12/31/9999,TRUE
143,CUST000106,Onyx Industries Co,Government,Japan,1/11/2019,3/17/2020,FALSE
144,CUST000106,Onyx Industries Co,Government,Japan,3/18/2020,7/1/2022,FALSE
145,CUST000106,Onyx Industries Co,Education,Japan,7/2/2022,12/31/9999,TRUE
146,CUST000107,Joseph Kim,Consumer,Australia,9/4/2021,8/28/2022,FALSE
147,CUST000107,Joseph Kim,Consumer,Netherlands,8/29/2022,12/31/9999,TRUE
148,CUST000108,Vertex Motors Ltd,Education,Netherlands,12/3/2018,6/19/2019,FALSE
149,CUST000108,Vertex Motors Ltd,Education,Netherlands,6/20/2019,12/31/9999,TRUE
150,CUST000109,Onyx Health PLC,Education,Spain,5/18/2022,5/18/2024,FALSE
151,CUST000109,Onyx Health PLC,Education,China,5/19/2024,12/31/9999,TRUE
152,CUST000110,Onyx Consulting Corp,Mid-Market,Brazil,7/12/2018,12/31/9999,TRUE
153,CUST000111,Global Solutions Corp,Startup,Chile,3/19/2019,12/31/9999,TRUE
154,CUST000112,Vertex Robotics Co,Startup,Canada,4/3/2021,12/31/9999,TRUE
155,CUST000113,Meridian Solutions Inc,SMB,Spain,7/16/2020,12/31/9999,TRUE
156,CUST000114,Mei Johnson,Consumer,Canada,2/23/2020,2/4/2022,FALSE
157,CUST000114,Mei Johnson,Consumer,Netherlands,2/5/2022,3/17/2024,FALSE
158,CUST000114,Mei Johnson,Mid-Market,China,3/18/2024,12/31/9999,TRUE
159,CUST000115,Onyx Systems Group,SMB,China,9/13/2019,3/6/2021,FALSE
160,CUST000115,Onyx Systems Group,SMB,Argentina,3/7/2021,5/13/2023,FALSE
161,CUST000115,Onyx Systems Group,Mid-Market,Argentina,5/14/2023,12/31/9999,TRUE
162,CUST000116,Summit Textiles Group,Mid-Market,Spain,6/20/2019,12/31/9999,TRUE
163,CUST000117,Pioneer Solutions PLC,Government,Japan,11/16/2021,9/16/2023,FALSE
164,CUST000117,Pioneer Solutions PLC,Mid-Market,Japan,9/17/2023,12/31/9999,TRUE
165,CUST000118,James Davis,Consumer,Canada,3/5/2022,12/31/9999,TRUE
166,CUST000119,Cascade Logistics Corp,Government,Canada,9/13/2019,12/31/9999,TRUE
167,CUST000120,Onyx Retail Group,Startup,Mexico,8/28/2022,12/31/9999,TRUE
168,CUST000121,Jennifer Davis,Consumer,Singapore,3/20/2022,12/31/9999,TRUE
169,CUST000122,Cascade Manufacturing Corp,Government,Japan,10/3/2022,11/21/2023,FALSE
170,CUST000122,Cascade Manufacturing Corp,Mid-Market,Spain,11/22/2023,11/5/2025,FALSE
171,CUST000122,Cascade Manufacturing Corp,Mid-Market,Spain,11/6/2025,12/31/9999,TRUE
172,CUST000123,Ingrid Jones,Consumer,United Kingdom,10/2/2022,12/31/9999,TRUE
173,CUST000124,Redwood Textiles LLC,Education,Mexico,10/18/2019,12/31/9999,TRUE
174,CUST000125,Global Financial PLC,Education,Australia,7/8/2022,5/10/2024,FALSE
175,CUST000125,Global Financial PLC,Education,United Kingdom,5/11/2024,12/31/9999,TRUE
176,CUST000126,John Rodriguez,Consumer,Argentina,5/20/2018,5/24/2020,FALSE
177,CUST000126,John Rodriguez,Mid-Market,United States,5/25/2020,12/31/9999,TRUE
178,CUST000127,Cascade Dynamics Inc,Startup,China,7/12/2020,12/31/9999,TRUE
179,CUST000128,Vertex Financial Group,Enterprise,Netherlands,10/12/2021,12/26/2023,FALSE
180,CUST000128,Vertex Financial Group,Government,Spain,12/27/2023,12/31/9999,TRUE
181,CUST000129,Sarah Schmidt,Consumer,Argentina,9/16/2022,12/31/9999,TRUE
182,CUST000130,Atlas Health Co,SMB,China,12/8/2018,9/4/2020,FALSE
183,CUST000130,Atlas Health Co,SMB,China,9/5/2020,12/31/9999,TRUE
184,CUST000131,Prime Textiles PLC,Enterprise,Japan,12/22/2022,8/11/2023,FALSE
185,CUST000131,Prime Textiles PLC,Government,Mexico,8/12/2023,12/31/9999,TRUE
186,CUST000132,Vertex Robotics PLC,Education,Mexico,6/3/2019,12/31/9999,TRUE
187,CUST000133,Apex Media PLC,Startup,Chile,1/25/2022,12/31/9999,TRUE
188,CUST000134,Nova Robotics Holdings,Education,United States,5/7/2022,12/31/9999,TRUE
189,CUST000135,Halcyon Textiles Ltd,Enterprise,France,4/21/2020,12/31/9999,TRUE
190,CUST000136,Nova Systems Group,Enterprise,China,7/19/2021,12/31/9999,TRUE
191,CUST000137,Cascade Retail LLC,Mid-Market,Mexico,10/12/2022,12/31/9999,TRUE
192,CUST000138,Pacific Solutions Ltd,SMB,Brazil,1/9/2022,1/2/2023,FALSE
193,CUST000138,Pacific Solutions Ltd,Enterprise,Brazil,1/3/2023,11/27/2024,FALSE
194,CUST000138,Pacific Solutions Ltd,Enterprise,Brazil,11/28/2024,12/31/9999,TRUE
195,CUST000139,Redwood Health Group,SMB,Brazil,8/25/2022,10/27/2023,FALSE
196,CUST000139,Redwood Health Group,SMB,Brazil,10/28/2023,8/6/2025,FALSE
197,CUST000139,Redwood Health Group,SMB,Brazil,8/7/2025,12/31/9999,TRUE
198,CUST000140,Global Robotics LLC,Education,Netherlands,11/23/2019,12/31/9999,TRUE
199,CUST000141,Quantum Financial Co,Mid-Market,Chile,4/10/2020,12/31/9999,TRUE
200,CUST000142,Horizon Foods LLC,Enterprise,France,4/19/2020,12/31/9999,TRUE
201,CUST000143,Nova Networks Holdings,SMB,Spain,5/7/2019,12/31/9999,TRUE
202,CUST000144,Prime Solutions Co,Mid-Market,Germany,2/22/2018,6/29/2020,FALSE
203,CUST000144,Prime Solutions Co,Enterprise,Germany,6/30/2020,12/31/9999,TRUE
204,CUST000145,Apex Robotics Co,Startup,Japan,5/16/2022,12/31/9999,TRUE
205,CUST000146,Cascade Manufacturing PLC,Mid-Market,Italy,1/17/2019,9/20/2020,FALSE
206,CUST000146,Cascade Manufacturing PLC,Startup,Australia,9/21/2020,12/31/9999,TRUE
207,CUST000147,Diego Haddad,Consumer,France,12/17/2018,12/31/9999,TRUE
208,CUST000148,William Andersen,Consumer,United States,7/19/2019,12/31/9999,TRUE
209,CUST000149,Quantum Pharma Group,Enterprise,France,5/16/2019,12/31/9999,TRUE
210,CUST000150,Quantum Pharma Corp,Startup,Argentina,12/25/2021,12/31/9999,TRUE
211,CUST000151,Meridian Media Group,SMB,Brazil,10/22/2019,12/31/9999,TRUE
212,CUST000152,Pioneer Manufacturing Ltd,Mid-Market,Singapore,3/26/2019,2/21/2020,FALSE
213,CUST000152,Pioneer Manufacturing Ltd,Enterprise,Argentina,2/22/2020,12/31/9999,TRUE
214,CUST000153,Cascade Motors Co,Mid-Market,Argentina,10/2/2022,12/31/9999,TRUE
215,CUST000154,Patricia Andersen,Consumer,France,8/27/2020,12/31/9999,TRUE
216,CUST000155,Pioneer Energy Co,Government,Netherlands,9/26/2022,12/31/9999,TRUE
217,CUST000156,Meridian Retail PLC,SMB,United Kingdom,4/19/2022,12/31/9999,TRUE
218,CUST000157,Redwood Analytics Group,Startup,Australia,8/25/2022,12/31/9999,TRUE
219,CUST000158,Evergreen Systems PLC,Government,India,3/21/2019,12/31/9999,TRUE
220,CUST000159,Quantum Financial PLC,Education,Mexico,4/11/2020,12/31/9999,TRUE
221,CUST000160,Atlas Manufacturing PLC,SMB,Netherlands,12/19/2020,12/1/2022,FALSE
222,CUST000160,Atlas Manufacturing PLC,SMB,Netherlands,12/2/2022,12/31/9999,TRUE
223,CUST000161,Global Industries Ltd,Mid-Market,Netherlands,4/6/2018,11/12/2019,FALSE
224,CUST000161,Global Industries Ltd,Enterprise,Netherlands,11/13/2019,9/6/2021,FALSE
225,CUST000161,Global Industries Ltd,Enterprise,Netherlands,9/7/2021,12/31/9999,TRUE
226,CUST000162,Summit Dynamics Group,Startup,Germany,5/8/2021,12/31/9999,TRUE
227,CUST000163,Atlas Energy Corp,Mid-Market,Germany,1/2/2019,12/31/9999,TRUE
228,CUST000164,Meridian Foods Holdings,Government,Brazil,5/18/2022,2/11/2024,FALSE
229,CUST000164,Meridian Foods Holdings,Government,Brazil,2/12/2024,4/6/2026,FALSE
230,CUST000164,Meridian Foods Holdings,Government,Brazil,4/7/2026,12/31/9999,TRUE
231,CUST000165,Cobalt Textiles Group,Startup,Australia,2/15/2019,12/31/9999,TRUE
232,CUST000166,Meridian Financial Group,SMB,Germany,9/27/2018,12/31/9999,TRUE
233,CUST000167,Vertex Pharma Group,Education,Argentina,8/10/2021,12/31/9999,TRUE
234,CUST000168,Cobalt Consulting Ltd,Enterprise,United States,7/18/2019,12/31/9999,TRUE
235,CUST000169,Richard Davis,Consumer,France,7/8/2021,9/29/2022,FALSE
236,CUST000169,Richard Davis,Government,Netherlands,9/30/2022,12/31/9999,TRUE
237,CUST000170,Redwood Manufacturing PLC,SMB,Spain,3/10/2019,12/27/2019,FALSE
238,CUST000170,Redwood Manufacturing PLC,SMB,Spain,12/28/2019,12/31/9999,TRUE
239,CUST000171,Halcyon Robotics Ltd,SMB,Japan,9/1/2018,12/31/9999,TRUE
240,CUST000172,Pioneer Consulting Group,Mid-Market,Germany,4/3/2018,3/2/2019,FALSE
241,CUST000172,Pioneer Consulting Group,Mid-Market,India,3/3/2019,12/31/9999,TRUE
242,CUST000173,Sterling Pharma Holdings,Education,Canada,1/9/2019,12/31/9999,TRUE
243,CUST000174,Horizon Systems Holdings,Education,France,7/27/2020,12/31/9999,TRUE
244,CUST000175,Pioneer Solutions PLC,Enterprise,Brazil,4/15/2018,12/31/9999,TRUE
245,CUST000176,Pioneer Textiles Ltd,Government,Argentina,6/6/2020,12/31/9999,TRUE
246,CUST000177,Apex Motors LLC,Government,Netherlands,4/12/2020,12/31/9999,TRUE
247,CUST000178,Prime Dynamics Ltd,Enterprise,Singapore,5/19/2019,12/31/9999,TRUE
248,CUST000179,Horizon Solutions Inc,Enterprise,Canada,12/20/2021,12/31/9999,TRUE
249,CUST000180,Meridian Systems Ltd,Mid-Market,France,6/25/2022,12/31/9999,TRUE
250,CUST000181,Apex Logistics Co,Government,Germany,3/16/2018,5/7/2019,FALSE
251,CUST000181,Apex Logistics Co,Startup,Germany,5/8/2019,12/31/9999,TRUE
252,CUST000182,Meridian Energy Ltd,Education,United States,12/5/2020,12/31/9999,TRUE
253,CUST000183,Apex Robotics Holdings,SMB,India,4/19/2021,12/31/9999,TRUE
254,CUST000184,Redwood Pharma Co,Mid-Market,Brazil,9/6/2022,12/31/9999,TRUE
255,CUST000185,Cascade Industries Holdings,Enterprise,India,6/15/2022,12/11/2022,FALSE
256,CUST000185,Cascade Industries Holdings,Enterprise,India,12/12/2022,12/31/9999,TRUE
257,CUST000186,Nova Retail Co,Government,Italy,11/18/2018,12/31/9999,TRUE
258,CUST000187,Horizon Networks Holdings,Education,Germany,7/21/2020,12/31/9999,TRUE
259,CUST000188,Pioneer Dynamics LLC,SMB,Canada,3/28/2019,10/25/2019,FALSE
260,CUST000188,Pioneer Dynamics LLC,Consumer,Canada,10/26/2019,12/31/9999,TRUE
261,CUST000189,Horizon Robotics Group,Startup,Canada,12/3/2022,12/31/9999,TRUE
262,CUST000190,Prime Robotics LLC,Enterprise,Brazil,6/18/2018,2/12/2020,FALSE
263,CUST000190,Prime Robotics LLC,Enterprise,Brazil,2/13/2020,12/31/9999,TRUE
264,CUST000191,Halcyon Manufacturing Inc,Enterprise,Mexico,4/17/2018,1/20/2019,FALSE
265,CUST000191,Halcyon Manufacturing Inc,Mid-Market,Mexico,1/21/2019,12/31/9999,TRUE
266,CUST000192,Prime Textiles Ltd,Mid-Market,France,7/24/2022,12/31/9999,TRUE
267,CUST000193,Onyx Pharma Holdings,Enterprise,Singapore,3/18/2019,10/28/2020,FALSE
268,CUST000193,Onyx Pharma Holdings,Government,Brazil,10/29/2020,12/31/9999,TRUE
269,CUST000194,Quantum Motors Co,SMB,Australia,12/11/2021,12/31/9999,TRUE
270,CUST000195,Northern Health Ltd,Startup,China,6/15/2020,3/14/2022,FALSE
271,CUST000195,Northern Health Ltd,Startup,Canada,3/15/2022,12/31/9999,TRUE
272,CUST000196,Halcyon Retail Corp,SMB,India,4/28/2019,12/31/9999,TRUE
273,CUST000197,Global Manufacturing Corp,SMB,United Kingdom,3/5/2020,12/31/9999,TRUE
274,CUST000198,Meridian Health Ltd,SMB,Italy,2/19/2020,12/31/9999,TRUE
275,CUST000199,Aisha Reyes,Consumer,Spain,8/6/2020,6/15/2022,FALSE
276,CUST000199,Aisha Reyes,Consumer,Spain,6/16/2022,12/31/9999,TRUE
277,CUST000200,Pioneer Software Group,Startup,Canada,7/3/2022,2/24/2023,FALSE
278,CUST000200,Pioneer Software Group,Startup,Singapore,2/25/2023,12/31/9999,TRUE
279,CUST000201,Raj Ivanov,Consumer,United Kingdom,12/21/2019,2/23/2022,FALSE
280,CUST000201,Raj Ivanov,Consumer,United Kingdom,2/24/2022,12/31/9999,TRUE
281,CUST000202,Horizon Logistics Group,Government,Chile,10/5/2022,12/31/9999,TRUE
282,CUST000203,Cascade Solutions Corp,SMB,Canada,8/25/2021,12/31/9999,TRUE
283,CUST000204,Onyx Textiles LLC,Startup,Italy,3/5/2021,12/31/9999,TRUE
284,CUST000205,Summit Robotics Inc,SMB,China,9/14/2021,12/31/9999,TRUE
285,CUST000206,Vertex Industries Holdings,Education,Spain,4/18/2022,12/31/9999,TRUE
286,CUST000207,Cascade Solutions Ltd,Startup,Mexico,6/22/2021,12/31/9999,TRUE
287,CUST000208,Summit Dynamics PLC,Startup,Singapore,6/12/2019,12/31/9999,TRUE
288,CUST000209,Global Consulting Corp,Startup,Australia,10/5/2021,12/31/9999,TRUE
289,CUST000210,Mary Reyes,Consumer,Italy,3/25/2020,12/31/9999,TRUE
290,CUST000211,Summit Dynamics Inc,Government,Italy,5/1/2019,10/12/2020,FALSE
291,CUST000211,Summit Dynamics Inc,Government,Brazil,10/13/2020,8/5/2022,FALSE
292,CUST000211,Summit Dynamics Inc,Mid-Market,Brazil,8/6/2022,12/31/9999,TRUE
293,CUST000212,Prime Motors Group,Mid-Market,Argentina,12/23/2019,12/31/9999,TRUE
294,CUST000213,Global Media Inc,Government,Netherlands,4/26/2020,12/31/9999,TRUE
295,CUST000214,Halcyon Manufacturing Inc,Government,Brazil,2/13/2018,12/31/9999,TRUE
296,CUST000215,Pacific Pharma LLC,Government,United States,4/13/2021,12/31/9999,TRUE
297,CUST000216,Pioneer Foods Holdings,Startup,Mexico,8/18/2022,12/31/9999,TRUE
